TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2026,6,2,15,0,7XX HORNBY ST,Central Business District,491187.6058,5458934.0374
Other Theft,2026,5,20,18,50,7XX HORNBY ST,Central Business District,491207.4632,5458941.1901
Other Theft,2026,6,14,0,0,7XX HORNBY ST,Central Business District,491207.4632,5458941.1901
Other Theft,2026,7,1,10,1,7XX HORNBY ST,Central Business District,491207.4632,5458941.1901
Other Theft,2026,3,31,14,0,7XX HORNBY ST,Central Business District,491207.5124,5458941.2409
Other Theft,2026,6,28,19,45,7XX HORNBY ST,Central Business District,491207.5124,5458941.2409
Other Theft,2026,7,2,9,30,7XX HORNBY ST,Central Business District,491207.5124,5458941.2409
Other Theft,2026,1,13,17,12,7XX JACKSON AVE,Strathcona,493189.8882,5458370.7617
Other Theft,2026,2,6,23,0,7XX JACKSON AVE,Strathcona,493191.0107,5458407.7557
Other Theft,2026,4,21,9,47,7XX JERVIS ST,West End,490698.8574,5459410.4963
Other Theft,2026,6,10,9,0,7XX JERVIS ST,West End,490720.8828,5459446.529
Other Theft,2026,2,1,19,0,7XX MAIN ST,Strathcona,492747.661,5458425.5617
Other Theft,2026,2,24,22,30,7XX MAIN ST,Strathcona,492747.721,5458426.6466
Other Theft,2026,2,27,23,16,7XX NELSON ST,Central Business District,490989.1737,5458562.7465
Other Theft,2026,6,20,14,20,7XX NELSON ST,Central Business District,490989.1737,5458562.7465
Other Theft,2026,4,23,23,30,7XX PACIFIC BLVD,Central Business District,491969.6723,5458156.549
Other Theft,2026,3,12,19,0,7XX PACIFIC BLVD,Central Business District,491970.8693,5458157.5031
Other Theft,2026,5,3,16,57,7XX PACIFIC BLVD,Central Business District,491994.1347,5458164.3011
Other Theft,2026,7,4,6,40,7XX PACIFIC BLVD,Central Business District,491994.1347,5458164.3011
Other Theft,2026,1,1,18,31,7XX PACIFIC BLVD,Central Business District,492052.5859,5458223.2603
Other Theft,2026,7,4,20,0,7XX PRINCESS AVE,Strathcona,493341.7134,5458406.8313
Other Theft,2026,7,8,11,0,7XX RICHARDS ST,Central Business District,491447.6828,5458615.8119
Other Theft,2026,1,3,19,39,7XX RICHARDS ST,Central Business District,491453.345,5458634.4232
Other Theft,2026,6,18,21,22,7XX RICHARDS ST,Central Business District,491546.5426,5458714.811
Other Theft,2026,1,3,20,12,7XX ROBSON ST,Central Business District,491216.7029,5458802.9062
Other Theft,2026,1,17,17,4,7XX ROBSON ST,Central Business District,491216.7029,5458802.9062
Other Theft,2026,2,7,18,24,7XX ROBSON ST,Central Business District,491216.7029,5458802.9062
Other Theft,2026,2,10,15,45,7XX ROBSON ST,Central Business District,491216.7029,5458802.9062
Other Theft,2026,3,13,10,22,7XX ROBSON ST,Central Business District,491216.7029,5458802.9062
Other Theft,2026,6,1,18,31,7XX ROBSON ST,Central Business District,491216.7029,5458802.9062
Other Theft,2026,2,25,10,22,7XX ROBSON ST,Central Business District,491218.8365,5458800.8258
Other Theft,2026,6,22,9,45,7XX ROBSON ST,Central Business District,491218.8365,5458800.8258
Other Theft,2026,7,13,17,45,7XX ROBSON ST,Central Business District,491218.8365,5458800.8258
Other Theft,2026,4,19,14,48,7XX ROBSON ST,Central Business District,491224.0448,5458795.7473
Other Theft,2026,5,17,18,8,7XX ROBSON ST,Central Business District,491224.0448,5458795.7473
Other Theft,2026,1,2,14,29,7XX ROBSON ST,Central Business District,491273.4999,5458747.5265
Other Theft,2026,1,5,13,56,7XX ROBSON ST,Central Business District,491273.4999,5458747.5265
Other Theft,2026,1,9,15,5,7XX ROBSON ST,Central Business District,491273.4999,5458747.5265
Other Theft,2026,1,14,14,50,7XX ROBSON ST,Central Business District,491273.4999,5458747.5265
Other Theft,2026,1,16,14,14,7XX ROBSON ST,Central Business District,491273.4999,5458747.5265
Other Theft,2026,1,16,19,9,7XX ROBSON ST,Central Business District,491273.4999,5458747.5265
Other Theft,2026,1,27,19,57,7XX ROBSON ST,Central Business District,491273.4999,5458747.5265
Other Theft,2026,1,31,19,15,7XX ROBSON ST,Central Business District,491273.4999,5458747.5265
Other Theft,2026,2,10,18,21,7XX ROBSON ST,Central Business District,491273.4999,5458747.5265
Other Theft,2026,2,15,10,37,7XX ROBSON ST,Central Business District,491273.4999,5458747.5265
Other Theft,2026,2,15,13,30,7XX ROBSON ST,Central Business District,491273.4999,5458747.5265
Other Theft,2026,2,22,17,3,7XX ROBSON ST,Central Business District,491273.4999,5458747.5265
Other Theft,2026,4,4,20,28,7XX ROBSON ST,Central Business District,491273.4999,5458747.5265
Other Theft,2026,4,7,18,25,7XX ROBSON ST,Central Business District,491273.4999,5458747.5265
Other Theft,2026,4,21,12,47,7XX ROBSON ST,Central Business District,491273.4999,5458747.5265
Other Theft,2026,5,1,18,41,7XX ROBSON ST,Central Business District,491273.4999,5458747.5265
Other Theft,2026,5,6,15,19,7XX ROBSON ST,Central Business District,491273.4999,5458747.5265
